V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2024.6502685546875,2024.7408,2021.939,2025.3055,2025.6467,2024.3403,2025.5627,2024.1833,2019.6409,2027.8649,2022.8169,2020.9307,2018.7424,2020.5104
2969.518798828125,2972.2886,2970.6985,2969.3367,2964.2827,2967.5344,2982.9287,2967.009,2986.4387,2980.8706,2986.8499,2992.5735,2995.5503,2994.9023
1119.81640625,1112.5087,1130.8903,1106.7418,1110.0719,1099.2356,1133.2542,1121.5468,1118.46,1100.8795,1090.736,1117.9537,1143.6488,1143.7162
1185.6400146484375,1214.1688,1274.561,1197.6007,1205.2136,1207.6139,1265.3066,1208.3594,1215.5679,1080.1421,1195.0155,1224.4087,1350.5824,1318.1543
5870.9619140625,5868.5083,5873.131,5876.504,5871.59,5875.5815,5873.4033,5869.1606,5862.4966,5885.741,5874.0796,5867.038,5876.4814,5869.68
3102.3359375,3089.5776,3111.4019,3091.5547,3070.3486,3111.1748,3103.5232,3129.9233,3137.8545,3087.3728,3110.6985,3079.0664,3072.0547,3162.6885
5416.58544921875,5409.826,5496.7476,5426.5376,5521.9375,5536.632,5488.3994,5470.926,5554.5713,5546.2812,5497.5244,5463.848,5354.8564,5504.719
1740.7529296875,1740.5669,1743.3832,1744.2296,1741.9473,1742.0925,1744.6956,1740.312,1741.2,1744.7013,1746.6877,1741.6212,1744.6306,1743.481
1592.637939453125,1592.4854,1595.0729,1595.7129,1593.8354,1593.7888,1596.2306,1592.3257,1593.2659,1595.9828,1598.2208,1593.5219,1596.2413,1595.3678
2635.14892578125,2631.3755,2634.9573,2634.9531,2632.4731,2635.7505,2636.6355,2632.7732,2636.8845,2637.8137,2637.5237,2635.3208,2629.2178,2637.5173
2430.26171875,2427.8184,2434.3147,2443.4338,2434.3247,2434.7334,2436.8176,2431.355,2435.1213,2442.7617,2441.7678,2435.4905,2434.3347,2461.988
3633.486572265625,3631.385,3632.1204,3633.3347,3632.6948,3635.3416,3635.0818,3633.6838,3633.1775,3635.6414,3633.7793,3633.8196,3634.6792,3632.8062
7178.8564453125,7173.197,7173.343,7174.5156,7174.5176,7184.2075,7178.3896,7178.254,7163.1543,7179.8535,7173.8867,7175.8877,7181.8247,7169.0576
5713.880859375,5715.8013,5729.8535,5728.316,5745.112,5730.791,5746.1157,5718.178,5711.994,5766.8403,5769.8936,5734.8486,5765.225,5746.5376
7536.9970703125,7499.853,7569.6436,7554.083,7574.9653,7632.1606,7606.115,7562.3213,7576.0215,7632.1943,7603.897,7588.1562,7588.3257,7594.3945
3064.426025390625,3068.7317,3078.9883,3081.7642,3073.1423,3066.8528,3060.4941,3067.5698,3070.6445,3068.098,3076.7026,3081.341,3095.6965,3092.7854
4009.119140625,4006.8787,4007.703,4009.019,4009.0957,4012.333,4012.1013,4009.9763,4010.7617,4013.1057,4008.6958,4010.41,4011.8909,4008.5906
9504.8740234375,9513.626,9508.652,9505.758,9532.22,9528.965,9546.56,9567.411,9566.63,9540.876,9559.342,9546.491,9532.974,9535.169
2688.04345703125,2689.089,2681.983,2677.309,2694.8765,2687.193,2696.145,2688.6196,2671.7515,2683.035,2675.3523,2673.1768,2675.9753,2677.805
10797.712890625,10766.53,10827.144,10819.701,10817.427,10850.43,10830.261,10839.571,10898.3545,10926.891,10897.656,10862.63,10898.321,10887.32
2676.73828125,2677.974,2670.6594,2665.748,2682.7673,2674.9302,2684.992,2677.2334,2659.9163,2670.0527,2663.5334,2661.247,2664.4438,2666.3489
2903.15576171875,2900.6677,2906.0396,2896.6836,2907.4248,2910.4622,2923.9753,2898.025,2899.851,2890.4897,2932.942,2912.481,2916.5046,2916.979
1943.313720703125,1942.1619,1937.4666,1932.9617,1931.9934,1942.6925,1938.1932,1935.8657,1943.1897,1932.4893,1953.2095,1936.0332,1934.851,1953.9292
2588.03125,2586.7651,2593.2588,2582.4421,2592.9414,2597.429,2609.277,2586.5742,2589.6472,2578.6504,2617.3276,2599.8943,2604.9995,2604.821
1599.355224609375,1595.4086,1597.2517,1591.808,1596.5298,1606.4391,1599.5686,1597.3687,1599.9534,1586.995,1605.3402,1594.0249,1602.4437,1605.1254
2399.56005859375,2397.853,2402.7075,2395.1335,2406.5823,2408.704,2421.951,2399.754,2397.8296,2389.4443,2424.1626,2408.2073,2414.7776,2412.101
1727.6064453125,1726.4258,1725.0137,1718.7937,1719.6101,1732.0503,1723.5009,1724.653,1730.9039,1720.3037,1736.1053,1721.7401,1726.6444,1738.6597
397.3562316894531,387.1589,395.57355,390.05188,406.9164,412.518,403.068,411.95764,428.19308,430.2617,431.48883,414.97528,419.9305,419.17908
6445.1982421875,6439.791,6463.501,6445.1006,6453.434,6456.5547,6468.384,6436.5527,6454.74,6503.751,6475.6743,6449.6816,6448.216,6467.3604
571.0521240234375,556.39624,568.4892,560.557,584.79376,592.8452,579.26324,592.0362,615.37,618.344,620.108,596.37506,603.49585,602.41736
2120.43310546875,2108.3994,2091.3591,2093.274,2097.543,2112.7637,2103.7126,2108.101,2121.9644,2119.9639,2116.7703,2114.7297,2091.9463,2082.7493
1923.2266845703125,1912.3175,1896.8939,1898.6193,1902.4664,1916.2881,1908.0671,1912.061,1924.5906,1922.7972,1919.8789,1918.0197,1897.3671,1889.0349
6849.6650390625,6825.609,6811.244,6807.367,6840.676,6830.5566,6813.0977,6788.3696,6791.03,6808.6333,6798.53,6814.3345,6802.9463,6809.6
2242.856689453125,2240.7,2221.218,2234.8657,2259.1829,2257.5688,2277.5771,2252.4507,2237.4167,2233.2158,2293.3516,2255.0784,2257.6975,2274.7197
1621.11376953125,1616.5411,1625.6661,1629.0304,1633.7347,1635.507,1633.4341,1641.3739,1650.9312,1655.6765,1655.9131,1647.3663,1664.5211,1655.511
3773.3583984375,3760.7393,3750.994,3745.132,3763.8289,3770.801,3759.969,3759.2317,3777.2537,3786.166,3787.722,3770.5554,3767.0845,3768.7976
2425.7978515625,2455.1582,2487.6233,2478.1519,2480.5283,2486.091,2454.5024,2465.1396,2489.7302,2474.7725,2489.4062,2471.537,2498.9812,2484.7815
2261.72021484375,2274.3716,2268.1904,2271.9258,2256.7678,2262.8682,2248.186,2242.7522,2243.5637,2254.3398,2270.8274,2253.869,2275.0376,2309.3545
2495.6787109375,2486.6194,2496.4175,2493.439,2493.009,2505.6252,2495.1687,2491.9646,2506.1873,2503.9006,2496.7966,2494.795,2485.4045,2494.311
3896.552734375,3891.5312,3900.8655,3901.5242,3898.4204,3902.073,3908.245,3897.164,3897.8284,3910.6687,3898.4395,3894.5215,3906.7498,3896.6199
6610.46484375,6579.119,6602.227,6610.6885,6591.7007,6652.564,6612.264,6609.9023,6632.8813,6643.0093,6663.3867,6612.73,6563.4272,6611.1816
6999.45654296875,7023.564,7056.1846,7046.6255,6968.3755,7008.2373,7039.063,7049.897,6998.1113,6909.792,7046.0044,6992.6323,7063.8438,7090.597
1125.514404296875,1123.8024,1135.159,1135.1633,1133.3119,1122.3949,1126.8914,1126.4655,1127.5074,1122.2853,1128.8174,1130.695,1143.5533,1140.9059
8569.80078125,8555.776,8554.795,8537.609,8561.775,8568.828,8572.934,8562.527,8596.092,8540.664,8568.6455,8581.561,8620.661,8610.957
1122.1085205078125,1121.9268,1121.9792,1121.3892,1123.4567,1122.407,1122.9323,1121.7172,1122.9719,1121.984,1122.2335,1122.2644,1122.6241,1122.1947
10115.4052734375,10131.923,10200.535,10147.762,10197.848,10199.982,10182.426,10184.263,10167.246,10171.784,10203.462,10205.013,10220.733,10246.069
1009.5437622070312,1014.3531,1013.19165,1012.5693,1010.8316,1011.25934,1013.83344,1012.83984,1016.56244,1012.91003,1011.9488,1013.092,1013.7325,1015.43066
10481.751953125,10482.394,10552.014,10540.209,10519.408,10447.267,10511.296,10518.036,10545.94,10471.2,10506.776,10534.546,10654.731,10636.074
11078.9560546875,11068.472,11172.39,11162.027,11138.128,11046.469,11093.185,11099.267,11118.29,11052.339,11102.804,11128.596,11258.361,11234.136
9853.896484375,9919.686,9940.757,9927.133,9909.877,9923.75,9945.54,9955.369,9912.945,9924.039,9944.218,9969.634,9960.376,10020.532
1016.7561645507812,1021.75354,1026.5677,1022.5367,1022.9761,1024.4758,1025.3344,1026.56,1022.4197,1023.233,1027.0215,1027.4615,1028.1543,1032.882
2929.47412109375,2936.121,2935.8564,2938.2224,2931.1086,2940.1375,2938.3591,2949.1023,2959.3943,2945.8042,2957.6667,2958.3496,2955.0535,2971.9202
1108.4910888671875,1108.4736,1108.6715,1108.2004,1109.4415,1109.4823,1108.914,1108.4084,1109.0419,1109.5457,1109.097,1108.7083,1108.9576,1108.6254
2822.367431640625,2821.497,2823.4512,2823.1384,2822.7866,2824.4229,2824.6453,2820.7834,2821.8762,2821.7683,2822.1174,2821.8315,2821.9465,2821.4058
1075.5113525390625,1074.9808,1074.4465,1078.1128,1075.7646,1077.4646,1075.4719,1075.744,1078.7202,1076.741,1079.6843,1079.0627,1078.8307,1078.9385
10541.935546875,10544.869,10544.426,10540.973,10551.902,10550.204,10546.252,10542.074,10550.063,10542.286,10546.25,10548.441,10545.926,10550.8125
1713.1273193359375,1717.9769,1714.1887,1713.9857,1717.4728,1714.5321,1717.2433,1716.963,1721.1024,1715.6709,1716.5957,1719.844,1717.5803,1728.2234
1684.4327392578125,1686.3481,1685.6218,1686.2433,1686.49,1687.101,1686.1158,1688.5986,1691.0626,1686.9492,1691.0232,1690.7286,1689.1342,1699.7307
4944.0830078125,4944.1553,4953.456,4957.302,4948.747,4947.928,4953.589,4945.4854,4939.2944,4961.9414,4958.118,4942.586,4957.6494,4946.376
4074.83154296875,4102.3223,4094.793,4109.9175,4063.1409,4073.027,4073.977,4097.5996,4062.911,4092.1907,4048.232,4086.8672,4057.7346,4087.5654
3637.786376953125,3615.0618,3619.4087,3621.2432,3634.7834,3622.2556,3613.3633,3603.3936,3626.8289,3604.1345,3659.0264,3612.6826,3640.363,3623.9937
5685.14208984375,5722.95,5702.834,5718.7407,5694.4526,5700.6577,5739.3247,5732.8745,5714.9004,5715.3613,5725.4985,5754.8003,5743.2363,5781.012
4710.2041015625,4707.099,4712.5933,4711.552,4708.8154,4714.8105,4713.379,4708.089,4705.5537,4717.9795,4712.0635,4707.8965,4716.0713,4712.119
1073.698974609375,1074.266,1090.3142,1077.6846,1083.3164,1080.731,1101.1176,1068.1544,1088.9319,1090.0094,1110.143,1092.1138,1089.5771,1109.0234
3513.53955078125,3501.0293,3461.9165,3497.459,3496.7034,3475.7383,3482.1406,3549.0923,3542.391,3574.2861,3570.0354,3514.8965,3509.3472,3551.0183
1398.48291015625,1417.7043,1410.6844,1418.2583,1405.1082,1394.7029,1415.2673,1409.1399,1428.7621,1385.425,1384.9591,1419.5552,1431.6946,1440.0684
