V1,V2,V3,V4,V5,V6,V7,V8
6690.888671875,6654.814,6689.013,6668.8726,6705.43,6797.072,6802.353,6688.7837
6926.8505859375,6879.3667,6909.0938,6871.8887,6953.281,6995.516,7045.6123,6855.1333
7042.36474609375,7001.801,7071.4,7035.412,7089.4424,7126.717,7161.8633,7048.604
7563.08251953125,7514.3447,7532.267,7524.968,7581.8726,7618.394,7654.5693,7502.975
858.3751220703125,838.1288,1189.666,1389.0802,1079.0591,911.4156,1177.03,1383.972
9808.1103515625,9813.651,9825.171,9843.77,9854.482,9840.424,9854.549,9850.979
3348.77294921875,3350.5022,3337.7666,3354.1453,3353.6099,3355.3564,3349.828,3355.6306
2595.37060546875,2592.5188,2603.2375,2607.6064,2607.5408,2598.1257,2609.7925,2607.5476
2484.429931640625,2481.2585,2480.44,2488.334,2490.9832,2487.8271,2488.2786,2491.9116
2542.51953125,2532.7715,2550.6614,2546.5422,2545.4302,2538.0486,2559.896,2561.7637
1154.9903564453125,1147.1984,1148.8772,1147.5632,1155.0208,1151.5667,1155.5283,1150.7742
3224.54150390625,3016.2253,3308.272,3338.06,3285.262,3117.5505,3352.486,3368.664
1780.768310546875,1794.166,1798.4183,1808.6249,1823.8156,1828.0913,1826.292,1828.1761
12491.1806640625,12606.872,12632.293,12690.988,12729.668,12726.383,12687.262,12755.726
1196.790283203125,1180.2424,1322.2701,1299.2535,1228.8278,1206.5728,1329.3342,1366.2534
2084.549560546875,2091.2422,2128.6382,2125.8652,2173.1423,2136.655,2183.3198,2197.4736
2458.62255859375,2469.3672,2468.3157,2492.1096,2484.5361,2486.8562,2493.9023,2490.3657
4720.59912109375,4560.184,4958.968,4768.187,4866.7446,4560.928,4835.728,4757.675
5705.421875,5710.417,5725.0,5728.5825,5742.0454,5741.07,5735.7476,5737.349
6310.40087890625,6319.5376,6277.7266,6339.9204,6329.8413,6339.3765,6343.494,6342.574
9706.216796875,9703.237,9683.586,9720.285,9731.011,9728.324,9742.23,9733.571
5159.2578125,5145.491,5189.8223,5174.5,5119.144,5250.329,5188.274,5204.895
6009.89453125,5984.592,6071.5845,6077.491,6058.883,6012.463,6089.6187,6086.3076
2345.779296875,2339.0757,2357.078,2344.4495,2350.3198,2344.288,2355.5867,2351.548
1375.11376953125,1373.6049,1406.847,1372.1415,1385.4163,1384.2361,1401.2596,1370.6176
6803.93994140625,6765.8354,7597.1357,9039.481,7564.167,6969.171,7584.643,9059.53
9309.3984375,9318.174,9413.856,9334.0205,9400.027,9360.277,9314.583,9288.76
5024.3955078125,5015.963,5032.5703,5036.247,5051.394,5046.1875,5056.6074,4995.387
1909.114013671875,1878.0406,1891.3983,1857.4999,1913.4663,1908.441,1922.5701,1872.4396
3079.076416015625,3093.1006,3058.0251,3062.6477,3074.282,3082.2092,3065.3352,3067.295
2473.926513671875,2493.4185,2478.4258,2492.6133,2485.6133,2500.8225,2485.7185,2501.8867
4714.58837890625,4705.8154,4695.487,4699.8896,4720.9614,4732.084,4726.4634,4703.9336
8299.2822265625,8310.504,8346.974,8352.444,8362.954,8375.8545,8371.622,8372.328
7207.6435546875,7234.7295,7246.021,7280.3647,7262.617,7323.3027,7294.2295,7307.1333
10206.2861328125,10247.325,10269.683,10165.258,10279.485,10307.128,10288.83,10162.602
9173.8525390625,9133.707,9198.978,9211.121,9190.106,9209.972,9183.301,9213.652
4315.99072265625,4354.07,4319.0933,4331.533,4383.2886,4374.8926,4352.705,4419.819
6370.2509765625,6277.064,6321.946,6294.4917,6322.425,6392.903,6408.6323,6474.2334
5183.80517578125,5448.7563,6010.535,5730.287,5451.637,5576.935,5738.4966,5680.4233
5219.1201171875,5230.003,5234.9077,5239.1113,5239.832,5239.5347,5240.6245,5240.5938
1914.2054443359375,1914.2134,1925.0045,1928.3021,1924.885,1941.6759,1933.4119,1950.971
2122.19091796875,2119.1921,2126.0256,2132.4348,2147.172,2155.7534,2143.1086,2164.391
5410.279296875,5422.088,5420.3877,5416.4263,5425.7695,5422.559,5415.027,5418.939
1280.6064453125,1285.1719,1284.9299,1288.9246,1296.5022,1299.4968,1297.6688,1294.4993
1925.933349609375,1922.5323,1931.0054,1932.5385,1934.4072,1941.9972,1939.8451,1947.6793
3394.243896484375,3412.5027,3414.3762,3408.861,3409.3218,3433.1475,3403.8552,3407.6067
9657.4912109375,9744.09,9705.877,9737.68,9710.901,9838.528,9726.111,9818.273
1416.6241455078125,1409.8555,1436.0525,1429.5663,1431.7378,1412.1509,1446.1392,1431.6376
8968.2978515625,8954.865,9057.311,9047.215,9014.549,9103.094,9083.997,9079.129
9299.85546875,9334.977,9487.493,9464.76,9426.855,9578.832,9533.331,9513.505
1514.373046875,1500.3832,1538.8937,1504.4602,1549.2855,1532.2736,1553.207,1488.8335
5817.0205078125,5803.8076,5845.896,5825.537,5851.441,5830.2056,5880.404,5845.7783
2625.760009765625,2626.421,2636.731,2593.2344,2622.9707,2611.1467,2632.2986,2631.6953
1656.260009765625,1654.8392,1662.0299,1665.1581,1675.8422,1679.9004,1668.7235,1681.738
6908.6513671875,6929.8696,6937.3345,6972.291,6977.594,6965.376,6966.63,6971.9126
2949.5087890625,2949.6572,2981.8757,2917.5847,2942.4626,2953.15,3002.6,2920.8943
1471.427734375,1473.8004,1480.3147,1485.3003,1486.6428,1491.1548,1493.4244,1493.3125
7359.88623046875,7375.5786,7400.015,7308.4155,7394.198,7391.9995,7408.5166,7318.9087
9425.4814453125,9385.507,9427.704,9332.297,9401.656,9442.375,9523.129,9341.97
1399.506103515625,1413.5901,1417.2826,1406.0782,1424.938,1428.9456,1433.2064,1438.1699
2828.911865234375,2856.4475,2885.8452,2902.0845,2894.156,2932.2515,2923.5464,2935.4714
2126.41650390625,2140.5537,2177.018,2190.0493,2178.1807,2205.0542,2206.0286,2212.3584
2935.986328125,2965.8638,3012.7434,3035.9312,3035.0676,3051.2644,3050.8647,3041.5303
3220.388671875,3263.556,3277.821,3312.2368,3324.4897,3336.139,3332.8955,3339.091
4850.43212890625,4909.884,4940.936,4994.121,4962.0854,5010.963,5013.662,5019.651
6299.2900390625,6407.1987,6427.7305,6522.2856,6563.378,6584.411,6568.4814,6591.674
10865.255859375,10934.17,11034.197,11113.495,11108.592,11168.367,11168.931,11139.971
3272.438232421875,3310.7178,3330.1423,3337.7344,3361.1335,3376.6284,3378.788,3397.7146
1108.02392578125,1093.9573,1089.0962,1091.2947,1093.1235,1108.3007,1117.7495,1131.4448
10734.291015625,10756.344,10765.003,10785.754,10772.279,10778.322,10791.089,10800.85
4891.9287109375,4732.4814,4718.5146,4714.4824,4796.551,4821.0806,4840.369,4826.8726
3986.4228515625,3990.6367,3985.4272,4019.523,4037.2068,4024.2383,4026.8008,3974.927
5224.2685546875,5249.1836,5257.0576,5281.177,5286.4263,5291.5264,5289.238,5283.8223
3043.859130859375,3057.1973,3072.266,3084.6829,3083.6116,3094.349,3091.3213,3091.0994
1603.4700927734375,1607.3331,1608.406,1610.8063,1611.388,1612.0459,1611.4803,1611.5867
13507.953125,13545.39,13549.683,13574.95,13580.343,13585.707,13579.712,13581.59
17712.548828125,17791.05,17813.498,17878.234,17898.219,17903.76,17907.984,17896.863
17270.0,17346.523,17368.715,17431.45,17450.918,17456.344,17460.396,17449.562
1695.278076171875,1706.2184,1725.7065,1729.8146,1722.4377,1754.8762,1745.831,1759.3596
6808.169921875,6813.9614,6810.4062,6794.3765,6812.3735,6811.6543,6818.7617,6791.3447
4531.482421875,4527.8584,4526.6274,4520.8857,4530.522,4531.6113,4536.5854,4512.6543
2218.881103515625,2224.3376,2233.0984,2232.1714,2233.456,2236.457,2226.4468,2212.9854
3378.046142578125,3328.3113,3416.7954,3483.4321,3437.1907,3576.1494,3484.5007,3568.3792
12194.66796875,12202.278,12264.574,12295.479,12272.507,12307.174,12230.729,12250.328
33922.91015625,34227.348,34688.484,35100.777,35411.125,35140.305,35510.023,35535.016
1096.572021484375,1097.7502,1101.7864,1104.5269,1104.5613,1104.6095,1100.4122,1103.1079
2366.670654296875,2372.5327,2372.1514,2376.3442,2376.744,2377.4587,2377.056,2377.2915
3797.592529296875,3813.1765,3852.9292,3877.8887,3867.6438,3878.2422,3829.419,3840.434
8284.822265625,8320.04,8435.374,8484.954,8456.766,8510.844,8383.834,8387.805
8325.5439453125,8274.314,8294.169,8298.285,8313.702,8297.709,8346.809,8266.181
1073.689453125,1073.2235,1080.543,1081.8888,1078.9327,1085.8859,1079.5587,1079.0925
7233.234375,7229.076,7254.257,7233.981,7242.3833,7246.789,7241.1187,7246.1064
