V1,V2,V3,V4,V5,V6
7283.16943359375,7286.666,7346.2466,7373.794,7389.1504,7411.301
1504.8834228515625,1490.3522,1488.1123,1663.031,1571.0564,1737.4377
8594.7158203125,8854.661,9133.581,9299.82,9562.195,9639.588
9895.5390625,10173.522,10467.703,10689.033,10933.316,11000.876
7165.92578125,7496.4116,7880.242,8151.2246,8375.092,8437.373
4170.1171875,4256.592,4380.382,4443.8394,4463.448,4468.2617
3697.18408203125,3753.4312,3817.3428,3822.2563,3893.873,3896.037
2398.369873046875,2397.0842,2406.7046,2393.6123,2395.862,2397.535
2325.46337890625,2339.4475,2363.8284,2374.3484,2378.096,2378.3494
2297.17626953125,2316.0842,2322.5652,2317.8909,2346.2744,2343.7578
1496.3916015625,1503.2708,1514.6322,1516.5447,1521.1318,1522.0491
2027.648193359375,2073.514,2128.4963,2170.1006,2174.6133,2176.245
4702.6044921875,4820.9746,4947.085,4951.2793,5118.158,5105.005
5130.4169921875,5269.4023,5393.2295,5388.418,5573.9316,5614.761
5497.76904296875,5717.3545,5913.2046,6008.974,6296.85,6391.681
2624.568359375,2647.255,2690.6091,2682.263,2722.2263,2739.7446
3877.8837890625,3997.6633,4086.3948,4082.1094,4213.291,4229.6885
3231.28955078125,3295.6775,3336.2944,3326.9102,3368.122,3370.9673
3175.54345703125,3326.0835,3501.4148,3577.0298,3610.5806,3640.146
6577.748046875,6685.2515,6824.692,6919.4927,6913.445,6927.0176
9710.578125,9975.619,10337.258,10572.427,10576.836,10590.817
4399.0478515625,4513.273,4553.7134,4543.9365,4680.45,4705.9507
9563.515625,9914.625,9756.087,9833.141,9916.639,10331.426
8746.78125,9007.117,8888.953,8899.732,9207.236,9271.454
2434.33740234375,2483.5703,2535.2034,2544.5166,2575.0305,2586.2434
7368.65380859375,7572.2944,7634.134,7588.5454,7822.4995,7895.7393
1774.1240234375,1814.6874,1825.9307,1827.1399,1870.4392,1883.3904
1713.052001953125,1756.2856,1756.8527,1758.141,1803.6294,1816.2546
4170.45068359375,4201.1064,4224.1694,4218.1143,4265.704,4264.9014
4576.638671875,4677.966,4805.595,4902.5205,4917.7217,4924.1353
3735.889892578125,3772.2947,3783.3608,3775.128,3849.9028,3836.5627
5461.453125,5496.4414,5554.525,5570.036,5590.9424,5594.6797
1289.514404296875,1306.7,1331.538,1348.3816,1352.6481,1353.9856
1718.8470458984375,1728.7904,1754.9955,1766.4619,1770.3225,1769.6447
3442.67724609375,3480.5945,3537.1638,3566.4287,3573.8733,3575.3794
1167.0357666015625,1172.3091,1181.5493,1182.2977,1188.6462,1188.4901
4028.782470703125,4063.3896,4118.185,4129.701,4155.587,4159.46
2387.744140625,3153.25,3745.626,3555.0645,5583.92,3518.415
3793.6435546875,3887.183,3929.8147,3917.6128,3915.6333,3991.4246
4756.4560546875,4887.49,5023.309,5034.872,5196.211,5293.3237
14746.6513671875,15029.493,15263.755,15283.698,15489.009,15655.055
5887.83642578125,6225.492,6615.004,6899.0127,7077.3027,7119.3403
2949.28759765625,3109.2166,3284.2612,3397.954,3557.2622,3606.1726
10291.435546875,10669.263,11102.868,11260.421,11806.85,12117.1
10232.189453125,10546.995,10905.161,11035.617,11490.112,11734.659
6465.7275390625,6853.7646,7334.4214,7625.551,8035.104,8173.007
6474.5185546875,6863.1113,7344.5635,7636.3877,8045.671,8183.336
6720.28173828125,6798.195,6886.5205,6825.122,6996.9937,6837.8755
2522.54931640625,2553.8286,2587.018,2598.935,2642.8762,2658.893
18686.642578125,18956.398,19240.762,19301.766,19714.018,19889.248
8220.15625,8314.146,8427.213,8412.558,8582.901,8632.775
18033.54296875,19078.957,20195.441,21104.637,21296.352,21308.648
20045.341796875,21265.623,22727.67,23641.473,23684.945,23877.55
8982.5390625,9737.095,10607.603,11310.617,11755.574,11871.984
2776.681884765625,2993.1855,3234.224,3436.975,3501.3022,3515.9475
12324.1171875,13349.241,14518.331,15432.697,15574.469,15622.298
2141.462890625,2257.9722,2392.5115,2496.6372,2538.886,2548.2236
10151.8896484375,10420.108,10636.678,10718.559,11014.41,11136.126
10102.384765625,10243.779,10396.203,10483.123,10650.297,10710.494
10175.0703125,10444.952,10759.403,10876.929,11289.576,11484.59
10134.5517578125,10007.296,10099.238,10266.118,10669.717,10262.196
9852.189453125,10510.203,10796.857,11524.461,11865.545,11794.645
10317.423828125,10869.093,11381.511,11570.859,12341.992,12903.778
13591.2890625,14086.934,14525.976,15025.267,15322.937,15328.982
10662.64453125,11190.465,11758.13,12292.688,13014.506,13091.047
10239.525390625,10529.635,10974.256,11353.233,11547.152,11654.509
10104.33984375,10228.411,10256.127,10332.945,10319.264,10441.347
10150.2724609375,10183.105,10293.7,10370.926,10382.799,10506.579
10241.2998046875,10559.379,10888.6045,10942.133,11370.863,11576.248
9708.5908203125,9793.415,9785.741,9922.703,9999.321,9850.895
10144.2353515625,10220.072,10421.572,10509.969,10499.748,10556.445
10415.41796875,10835.73,11368.292,11688.434,12043.614,12164.75
10586.9736328125,10380.912,10695.075,10711.912,10720.734,10579.328
10288.4677734375,10280.1455,10276.454,10258.767,10068.047,10031.075
10105.6630859375,10148.075,10168.166,10095.591,10077.381,10088.724
10148.2509765625,10246.002,10489.914,10359.864,10616.837,10551.482
10242.962890625,10578.444,10915.591,11160.068,11336.941,11399.689
9831.6240234375,10192.161,10572.168,10679.474,11179.207,11439.769
4446.55029296875,5040.9487,5299.6724,5597.391,5566.754,5664.6357
3158.779052734375,3362.4077,3135.2708,3827.4375,3393.3064,2975.4617
4555.322265625,4783.6865,5068.213,5240.9023,5491.5,5588.5635
10617.8916015625,10499.164,11230.165,11696.798,12179.068,12099.491
9534.607421875,9911.807,10342.102,10436.33,10983.822,11298.601
3741.1650390625,3726.5884,3728.5288,3752.5342,3757.844,3755.6143
1594.2864990234375,1635.682,1694.2102,1735.4783,1756.2046,1758.4961
2634.9716796875,2664.3308,2743.7239,2718.481,2791.8613,2777.4543
9451.25,9478.391,9760.96,10379.316,10419.5625,10218.689
9347.8662109375,9349.174,9352.074,9941.379,10001.054,9939.76
783.0626831054688,924.7649,1083.9305,1156.3617,1216.3574,1333.3167
6307.78515625,6283.2524,6192.8647,6048.751,6031.242,5961.3804
7912.52734375,8011.5864,8181.014,8395.797,8225.684,8394.643
1207.3111572265625,1413.003,1519.4536,1540.2676,1917.3253,1758.63
7930.31396484375,7948.8267,7928.2515,7917.1245,8058.237,7994.993
6676.912109375,6692.853,6719.8413,6734.7363,6792.4697,6691.2393
6412.5498046875,6389.903,6380.344,6419.9463,6455.1855,6369.172
7415.669921875,7470.618,7523.503,7525.5483,7580.603,7662.177
6417.48486328125,6441.195,6450.549,6470.3013,6468.4634,6490.821
8840.587890625,8907.416,8926.238,8907.466,8826.158,8891.876
8128.28515625,8162.4434,8110.1865,8161.7686,8133.4487,8150.264
8381.9501953125,8420.395,8500.946,8642.882,8543.132,8569.016
1583.80224609375,1513.2183,1445.0193,1500.1498,1535.0651,1413.3054
8905.0556640625,8925.0205,8984.711,9078.313,9172.89,9171.327
3620.9736328125,3560.4807,3614.3796,3733.4604,3724.1655,3640.0989
1829.914306640625,1839.733,1877.4108,1861.4532,1883.8362,1925.258
2011.782958984375,2036.1871,2034.9445,2094.9534,2147.7737,2083.8557
2087.214111328125,2078.403,2128.035,2193.4397,2083.5442,2136.3074
3275.111572265625,3295.523,3475.4766,3376.3723,3404.19,3406.094
968.43212890625,943.669,916.5379,1103.7622,1154.9181,915.9253
2528.841552734375,2572.9019,2584.9517,2617.878,2581.3406,2670.662
2040.104736328125,2080.8162,2087.7847,2101.8357,2069.001,2056.2427
2658.5146484375,2603.7764,2697.8577,2678.2532,2773.1294,2769.557
1193.058837890625,1158.3789,1229.657,1248.2151,1266.3577,1216.236
1826.1959228515625,1828.1577,1851.4614,1861.2915,1842.6903,1863.8983
1796.9119873046875,1800.9733,1722.6985,1794.3978,1822.5574,1718.6482
1609.4720458984375,1624.0138,1613.314,1641.5602,1646.0581,1643.5491
2071.365234375,2065.595,2009.541,2062.5537,2119.1443,2055.384
2086.624267578125,1981.5422,2123.0474,2203.0415,2292.7356,2169.7405
1792.670166015625,1790.8195,1828.8827,1850.4987,1905.6089,1888.8906
2480.021484375,2452.5232,2470.3398,2476.1777,2444.3325,2494.6191
2109.54052734375,2067.889,2318.366,2157.2922,2249.7346,2302.3896
3605.287109375,3452.713,3294.4736,3350.6277,3508.9475,3275.6365
2115.55419921875,2021.4644,1995.7002,2091.5022,2197.8474,2097.7146
2384.0068359375,2421.5574,2471.8708,2491.377,2467.9668,2511.7122
2638.998046875,2658.1982,2778.5835,2811.9597,2688.2603,2749.0645
7860.62939453125,7859.046,7803.127,7882.334,7891.2676,7752.047
4082.646728515625,4100.3037,4376.3945,4642.0366,4557.457,4599.144
6974.607421875,6872.0244,6876.9546,6865.0767,6883.4185,6850.4077
9543.6953125,9513.957,9535.772,9588.247,9685.138,9537.481
3225.77880859375,3288.0254,3213.7354,3406.0105,3555.9197,3201.9397
6663.44091796875,6699.6406,6684.3716,6737.3833,6789.741,6754.22
8267.0380859375,8294.085,8302.571,8315.326,8317.688,8358.104
7236.31298828125,7235.8667,7245.8003,7251.2993,7257.515,7236.744
4890.306640625,5255.0205,5716.1714,5714.783,6329.264,6514.9043
10929.2099609375,11396.652,11905.35,12336.037,12516.777,12550.561
8703.0078125,9024.663,9434.412,9716.718,9781.234,9803.902
3350.7998046875,3547.387,3760.6836,3970.8728,4222.578,4273.0156
3384.3896484375,3524.9941,3684.014,3785.669,3898.842,3935.9316
11494.5712890625,11659.71,11806.744,11894.839,12271.637,12284.628
10284.08203125,10733.506,11196.682,11600.169,11708.287,11736.418
6303.37109375,6503.392,6757.7495,6925.3633,7020.84,7045.254
4332.38720703125,4569.172,4812.6016,4898.551,5269.632,5399.2603
4707.318359375,4598.4834,4657.163,4721.3135,4716.76,4716.8994
4623.6259765625,4857.7837,5141.9033,5355.371,5493.276,5527.8535
5314.46337890625,5460.658,5661.3154,5808.16,5830.3037,5817.1836
13202.7626953125,13908.545,14730.709,15319.889,15697.967,15790.887
8053.3388671875,7437.8506,7703.5996,8273.846,8193.332,7666.086
2262.181640625,2392.5747,2536.015,2640.1895,2725.3071,2746.192
6913.2060546875,7064.0693,7285.921,7400.991,7511.6074,7574.274
2932.971923828125,3077.7334,3254.3591,3369.029,3490.3965,3528.7393
8759.705078125,8904.6455,9199.355,9398.816,9363.595,9457.056
2026.7415771484375,2096.8464,2190.414,2179.1306,2300.8672,2365.276
8098.5810546875,8254.215,8617.01,8747.39,8647.084,8864.564
